query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,25,5,True,0.14338899999984278
2,ming,4,3,True,0.05984600000010687
3,ming,4,3,True,0.053818000000319444
4,ming,4,3,True,0.04646500000035303
5,ming,8,7,True,0.07459300000027724
6,ming,6,5,True,0.08543099999951664
7,ming,8,7,True,0.06723800000054325
8,ming,6,5,True,0.07159800000044925
9,ming,4,3,True,0.039883000000372704
10,ming,6,5,True,0.13085700000010547
11,ming,6,3,True,0.061068999999406515
12,ming,2,1,True,0.015080000000125438
13,ming,4,3,True,0.012511999999333057
14,ming,4,3,True,0.011969000000135566
15,ming,6,5,True,0.010355000000345171
16,ming,3,2,True,0.0026029999999082065
17,ming,6,5,True,0.023500999999669148
18,ming,4,3,True,0.006387999999788008
19,ming,5,4,True,0.010867999999391031
20,ming,31,7,True,0.021397999999862805
21,ming,3,2,True,0.006883000000016182
22,ming,4,3,True,0.005033000000366883
23,ming,6,5,True,0.013334999999642605
24,ming,6,5,True,0.016011999999136606
25,ming,6,5,True,0.011617000000114786
26,ming,4,3,True,0.008757999999943422
27,ming,6,5,True,0.01235999999971682
28,ming,3,2,True,0.005954999999630672
29,ming,6,5,True,0.003822000000582193
30,ming,3,2,True,0.004429999999956635
31,ming,4,3,True,0.004977000000508269
32,ming,4,3,True,0.004265999999915948
33,ming,6,5,True,0.004836000000068452
34,ming,6,5,True,0.006729000000632368
35,ming,6,5,True,0.003913999999895168
36,ming,8,7,True,0.011755999999877531
37,ming,3,2,True,0.0018849999996746192
38,ming,4,3,True,0.01985100000001694
39,ming,4,3,True,0.005213999999796215
40,ming,6,5,True,0.0031480000006922637
41,ming,6,5,True,0.0015429999994012178
42,ming,3,2,True,0.006139000000075612
43,ming,6,5,True,0.0031140000000959844
44,ming,4,3,True,0.0077039999996486586
45,ming,6,5,True,0.02373600000009901
46,ming,3,2,True,0.0037879999999859137
47,ming,6,5,True,0.005735000000640866
48,ming,4,3,True,0.004852000000028056
49,ming,4,3,True,0.008308999999826483
50,ming,4,3,True,0.0028280000005906913
51,ming,6,3,True,0.006110999999691558
52,ming,6,5,True,0.0032299999993483652
53,ming,4,3,True,0.0034429999996064
54,ming,3,2,True,0.004100999999536725
55,ming,4,3,True,0.004949999999553256
56,ming,3,2,True,0.00687500000003638
57,ming,6,5,True,0.014473000000180036
58,ming,4,3,True,0.011195000000043365
59,ming,5,3,True,0.008528000000296743
60,ming,2,1,True,0.0034980000000359723
61,ming,5,3,True,0.0055179999999381835
62,ming,3,2,True,0.0031159999998635612
63,ming,5,4,True,0.0012560000004668836
64,ming,3,2,True,0.0025209999994331156
65,ming,2,1,True,0.007607999999891035
66,ming,6,5,True,0.019658000000163156
67,ming,6,5,True,0.006400999999641499
68,ming,6,5,True,0.0074789999998756684
69,ming,6,5,True,0.003788999999414955
70,ming,3,2,True,0.0033060000005207257
71,ming,6,5,True,0.0066389999992679805
72,ming,5,3,True,0.011392999999770836
73,ming,2511,5,True,1.7783550000003743
74,ming,2,1,True,0.003264000000854139
75,ming,20,5,True,0.02195300000039424
76,ming,6,5,True,0.003341999999975087
77,ming,33,9,True,0.05412199999955192
78,ming,6,5,True,0.001877000000604312
79,ming,3,2,True,0.005758000000241736
80,ming,5,4,True,0.0029869999998481944
81,ming,4,3,True,0.007673999999497028
82,ming,4,3,True,0.010766000000330678
83,ming,4,3,True,0.007496999999602849
84,ming,4,3,True,0.0029170000007070485
85,ming,5,4,True,0.0013120000003254972
86,ming,4,3,True,0.004839999999603606
87,ming,6,5,True,0.01063499999963824
88,ming,20,7,True,0.031458999999813386
89,ming,6,5,True,0.0040079999998852145
90,ming,6,5,True,0.012698999999884109
91,ming,5,3,True,0.008343000000422762
92,ming,19,5,True,0.017186000000037893
93,ming,4,3,True,0.006907999999384629
94,ming,4,3,True,0.0064860000002227025
95,ming,5,4,True,0.00359299999945506
96,ming,3,2,True,0.004549999999653664
97,ming,3,2,True,0.005379000000175438
98,ming,6,5,True,0.00559999999950378
99,ming,3,2,True,0.002434999999422871
100,ming,8,7,True,0.010962999999719614
