goal	rule	score
p8(X5)	p8(a7)	1
p3(X7, X8)	p3(a30, a41)	1
p9(X3, X0)	p9(a99, a12)	1
p2(a92, X0)	p2(X6, X4) :- p6(X6)	1
p4(X1, X0)	p4(a37, a20)	1
p3(X0, X4)	p3(a58, a34)	1
p0(X0, X7)	p0(a41, a37)	1
p7(X8)	p7(a73)	1
p6(X3)	p6(a47)	1
p3(X0, X3)	p3(a55, a40)	1
p2(X8, X0)	p2(a17, a37)	1
p1(a11, a73)	p1(X3, X1) :- p4(X1, X7)	1
p4(X5, X0)	p4(a92, a84)	1
p3(X4, X8)	p3(a37, a67)	1
p6(X2)	p6(a63)	1
p7(X5)	p7(a36)	1
p7(a3)	p7(X4) :- p7(X4), p2(X4, X7)	1
p2(X3, X0)	p2(a11, a14)	1
p3(X0, X6)	p3(a91, a46)	1
p9(X0, a91)	p9(a46, a91)	1
p5(X8)	p5(a92)	1
p0(X6, X1)	p0(a95, a93)	1
p2(X0, X9)	p2(a79, a46)	1
p3(X0, X4)	p3(a85, a80)	1
p4(X1, X0)	p4(a4, a17)	1
p6(X3)	p6(a52)	1
p8(X1)	p8(a3)	1
p3(X0, X8)	p3(a99, a9)	1
p2(X7, X0)	p2(a9, a4)	1
p2(a99, X0)	p2(a99, a27)	1
p8(X7)	p8(a64)	1
p9(X5, X0)	p9(a12, a22)	1
p0(X6, X0)	p0(a79, a49)	1
p6(X0)	p6(a60)	1
p4(X2, X0)	p4(a43, a50)	1
p1(X1, X6)	p1(a18, a1)	1
p3(X1, X5)	p3(a62, a77)	1
p4(X4, X0)	p4(a92, a84)	1
p1(a11, a48)	p1(X3, X1) :- p4(X1, X7)	1
p4(X9, X0)	p4(a5, a81)	1
p7(X5)	p7(a14)	1
p8(X6)	p8(a85)	1
p0(X5, X1)	p0(a86, a17)	1
p5(X8)	p5(a25)	1
p8(X0)	p8(a17)	1
p2(X7, X1)	p2(a96, a89)	1
p6(X8)	p6(a51)	1
p2(a53, X0)	p2(X6, X4) :- p6(X6)	1
p1(X0, X8)	p1(a40, a19)	1
p7(X7)	p7(a91)	1
p4(X2, X0)	p4(a5, a81)	1
p1(X2, X6)	p1(a1, a94)	1
p9(X5, X0)	p9(a39, a33)	1
p4(X0, X1)	p4(a90, a74)	1
p4(X8, X0)	p4(a73, a5)	1
p7(a96)	p7(X4) :- p7(X4), p2(X4, X7)	1
p9(X8, a91)	p9(a46, a91)	1
p6(X3)	p6(a53)	1
p0(X0, X4)	p0(a10, a54)	1
p9(X5, X0)	p9(a53, a86)	1
p1(X0, X3)	p1(a72, a50)	1
p0(X1, X0)	p0(a41, a37)	1
p9(X8, X0)	p9(a99, a12)	1
p4(X5, X0)	p4(a48, a73)	1
p2(X2, X0)	p2(a40, a36)	1
p3(X1, X5)	p3(a54, a63)	1
p3(X8, X4)	p3(a63, a14)	1
p2(X0, X9)	p2(a14, a12)	1
p8(X0)	p8(a48)	1
p2(X7, X0)	p2(a15, a29)	1
p2(X5, X3)	p2(a40, a36)	1
p0(X0, X9)	p0(a60, a0)	1
p6(X5)	p6(a53)	1
p8(X8)	p8(a77)	1
p4(a35, X0)	p4(a35, a44)	1
p4(X8, X0)	p4(a5, a81)	1
p6(X1)	p6(a87)	1
p6(X6)	p6(a35)	1
p0(X0, a8)	p0(a40, a8)	1
p4(X1, X0)	p4(a35, a44)	1
p2(X9, X0)	p2(a79, a46)	1
p8(X8)	p8(a64)	1
p0(X1, X0)	p0(a90, a79)	1
p7(X8)	p7(X6) :- p8(X6)	1
p9(X0, X1)	p9(a58, a89)	1
p1(a11, a26)	p1(X3, X1) :- p4(X1, X7)	1
p0(X5, X1)	p0(a58, a77)	1
p3(X1, X0)	p3(a13, a17)	1
p7(a7)	p7(X6) :- p8(X6)	1
p4(X4, X0)	p4(a48, a73)	1
p7(X3)	p7(a92)	1
p1(X0, X8)	p1(a81, a38)	1
p2(a70, a25)	p2(a70, X3) :- p5(X3)	1
p5(X5)	p5(a17)	1
p9(X0, X1)	p9(a53, a86)	1
p3(X0, X1)	p3(a13, a17)	1
p2(X5, X3)	p2(a69, a21)	1
p8(X9)	p8(X5) :- p8(X5)	1
p2(a63, X0)	p2(X6, X4) :- p6(X6)	1
p3(X1, X5)	p3(a63, a14)	1
