query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,1000000,0,False,116.312392
2,ming,1000000,0,False,97.657673
3,ming,1000000,0,False,101.36353200000002
4,ming,1000000,0,False,66.254322
5,ming,1000000,0,False,99.93003199999998
6,ming,1000000,0,False,100.95885299999998
7,ming,1000000,0,False,115.55994999999996
8,ming,1000000,0,False,106.35484299999996
9,ming,1000000,0,False,117.26886200000001
10,ming,1000000,0,False,116.2167659999999
11,ming,2,1,True,0.006411000000070999
12,ming,1000000,0,False,102.02402399999983
13,ming,1000000,0,False,107.24322699999993
14,ming,2,1,True,0.005205999999816413
15,ming,1000000,0,False,98.77200100000005
16,ming,1000000,0,False,99.69562700000006
17,ming,1000000,0,False,146.99321499999996
18,ming,1000000,0,False,110.68395399999986
19,ming,1000000,0,False,127.90481999999997
20,ming,1000000,0,False,85.21803599999998
21,ming,1000000,0,False,100.11840300000017
22,ming,1000000,0,False,95.3205969999999
23,ming,2,1,True,0.004309999999804859
24,ming,1000000,0,False,108.46408700000029
25,ming,1000000,0,False,110.93634400000019
26,ming,1000000,0,False,102.50442299999986
27,ming,1000000,0,False,101.58956399999988
28,ming,3,2,True,0.0024570000000494474
29,ming,1000000,0,False,90.74519899999996
30,ming,1000000,0,False,95.53244199999972
31,ming,1000000,0,False,110.78776300000027
32,ming,1000000,0,False,101.07861100000036
33,ming,2,1,True,0.005466999999953259
34,ming,2,1,True,0.005496999999650143
35,ming,3,2,True,0.006064000000151282
36,ming,2,1,True,0.004953000000114116
37,ming,1000000,0,False,104.82920399999966
38,ming,1000000,0,False,101.59495600000037
39,ming,1000000,0,False,130.81064400000014
40,ming,2,1,True,0.005941999999777181
41,ming,1000000,0,False,120.97705300000007
42,ming,2,1,True,0.007249000000228989
43,ming,1000000,0,False,111.42523200000005
44,ming,1000000,0,False,100.20741399999997
45,ming,2,1,True,0.00475800000003801
46,ming,1000000,0,False,113.72423900000013
47,ming,1000000,0,False,98.65503799999988
48,ming,1000000,0,False,99.92832399999998
49,ming,2,1,True,0.005666000000019267
50,ming,2,1,True,0.006120999999893684
51,ming,1000000,0,False,97.868023
52,ming,1000000,0,False,98.91417299999966
53,ming,1000000,0,False,93.707445
54,ming,2,1,True,0.006263000000217289
55,ming,1000000,0,False,115.38852300000053
56,ming,1000000,0,False,127.05756199999996
57,ming,1000000,0,False,107.03769300000022
58,ming,1000000,0,False,111.36750500000016
59,ming,1000000,0,False,107.43535499999962
60,ming,2,1,True,0.0078719999992245
61,ming,1000000,0,False,140.82137599999987
62,ming,1000000,0,False,137.87122700000054
63,ming,1000000,0,False,90.51767600000039
64,ming,1000000,0,False,97.42387999999937
65,ming,1000000,0,False,112.21918199999982
66,ming,1000000,0,False,96.49901799999952
67,ming,1000000,0,False,102.16468899999927
68,ming,1000000,0,False,112.8857280000002
69,ming,1000000,0,False,114.0341759999992
70,ming,1000000,0,False,99.52795400000014
71,ming,1000000,0,False,130.9842920000001
72,ming,2,1,True,0.004535000000032596
73,ming,1000000,0,False,98.65372000000025
74,ming,1000000,0,False,105.59515700000065
75,ming,1000000,0,False,99.23229700000047
76,ming,3,2,True,0.0061789999999746215
77,ming,1000000,0,False,109.23959099999956
78,ming,2,1,True,0.005710999999791966
79,ming,1000000,0,False,97.78917300000012
80,ming,1000000,0,False,105.71024500000021
81,ming,1000000,0,False,113.58098000000064
82,ming,1000000,0,False,102.76015800000005
83,ming,1000000,0,False,109.35572500000035
84,ming,1000000,0,False,102.95899300000019
85,ming,1000000,0,False,103.90151999999944
86,ming,1000000,0,False,112.15114100000028
87,ming,1000000,0,False,114.93352099999993
88,ming,1000000,0,False,118.43531500000063
89,ming,1000000,0,False,70.574165
90,ming,1000000,0,False,102.37662699999964
91,ming,2,1,True,0.0059930000006716
92,ming,2,1,True,0.00469500000053813
93,ming,1000000,0,False,99.45288900000014
94,ming,2,1,True,0.005450000000564614
95,ming,1000000,0,False,114.88216399999965
96,ming,2,1,True,0.006388000000697502
97,ming,1000000,0,False,114.48538300000018
98,ming,1000000,0,False,103.75515200000063
99,ming,1000000,0,False,107.3660460000001
100,ming,1000000,0,False,122.57133500000054
