query,std reasoner,std nodes explored,std min depth,success,time
1,std,6,5,True,0.0018630000004122849
2,std,4,3,True,0.0019259999999121646
3,std,8,3,True,0.0017579999994268292
4,std,4,3,True,0.001825999999709893
5,std,8,7,True,0.001916999999593827
6,std,2,1,True,0.0012040000001434237
7,std,8,7,True,0.0013380000000324799
8,std,2,1,True,0.001593999999386142
9,std,4,3,True,0.0016969999996945262
10,std,2,1,True,0.003163000000313332
11,std,5,3,True,0.0018989999998666462
12,std,2,1,True,0.0011660000000119908
13,std,4,3,True,0.0015030000004117028
14,std,4,3,True,0.0013769999995929538
15,std,18,5,True,0.00817800000004354
16,std,3,2,True,0.0010320000001229346
17,std,2,1,True,0.0010579999998299172
18,std,4,3,True,0.0010920000004261965
19,std,5,4,True,0.0009960000006685732
20,std,11,7,True,0.0017250000000785803
21,std,4,3,True,0.002142999999705353
22,std,4,3,True,0.0022799999997005216
23,std,6,5,True,0.0013259999996080296
24,std,2,1,True,0.0009789999994609389
25,std,6,5,True,0.0019160000001647859
26,std,10,9,True,0.0021619999997710693
27,std,6,5,True,0.0011620000004768372
28,std,3,2,True,0.0021140000008017523
29,std,6,5,True,0.0011469999999462743
30,std,3,2,True,0.001111999999920954
31,std,4,3,True,0.0008219999999710126
32,std,4,3,True,0.001283000000512402
33,std,6,5,True,0.0012940000005983165
34,std,2,1,True,0.0010419999998703133
35,std,6,5,True,0.00094600000011269
36,std,8,7,True,0.0014290000008259085
37,std,4,3,True,0.0008910000005926122
38,std,4,3,True,0.0009209999998347485
39,std,4,3,True,0.0008260000004156609
40,std,6,5,True,0.0012710000000879518
41,std,6,5,True,0.0008229999994000536
42,std,4,3,True,0.0011309999999866704
43,std,6,5,True,0.0015949999997246778
44,std,4,3,True,0.0012560000004668836
45,std,2,1,True,0.0008049999996728729
46,std,4,3,True,0.0007060000007186318
47,std,2,1,True,0.0006779999994250829
48,std,4,3,True,0.0007839999998395797
49,std,4,3,True,0.0009909999998853891
50,std,4,3,True,0.0009479999998802668
51,std,5,3,True,0.001117000000704138
52,std,6,5,True,0.0014629999996031984
53,std,4,3,True,0.0008539999998902204
54,std,3,2,True,0.0039249999999810825
55,std,4,3,True,0.0008189999998649
56,std,4,3,True,0.0009159999999610591
57,std,2,1,True,0.0013369999996939441
58,std,4,3,True,0.002035999999861815
59,std,4,3,True,0.0015550000007351628
60,std,2,1,True,0.0007980000000316068
61,std,5,3,True,0.0008840000000418513
62,std,4,3,True,0.0007750000004307367
63,std,5,4,True,0.0008859999998094281
64,std,3,2,True,0.0008840000000418513
65,std,2,1,True,0.0008260000004156609
66,std,2,1,True,0.0018270000000484288
67,std,2,1,True,0.0007409999998344574
68,std,2,1,True,0.0007550000000264845
69,std,6,5,True,0.0011270000004515168
70,std,4,3,True,0.0008360000001630397
71,std,2,1,True,0.0008379999999306165
72,std,4,3,True,0.001043000000208849
73,std,6,5,True,0.001759999999194406
74,std,2,1,True,0.0020699999995485996
75,std,8,7,True,0.0014689999998154235
76,std,6,5,True,0.0007430000005115289
77,std,14,13,True,0.0019310000006953487
78,std,2,1,True,0.0008569999999963329
79,std,4,3,True,0.0008209999996324768
80,std,5,4,True,0.0008090000001175213
81,std,4,3,True,0.0010300000003553578
82,std,4,3,True,0.001059000000168453
83,std,8,7,True,0.0010010000005422626
84,std,4,3,True,0.001178999999865482
85,std,5,4,True,0.0013650000000779983
86,std,4,3,True,0.0008870000001479639
87,std,6,5,True,0.0010750000001280569
88,std,671,9,True,0.01806499999929656
89,std,6,5,True,0.0013199999993958045
90,std,6,5,True,0.0010259999999107094
91,std,4,3,True,0.0009439999994356185
92,std,6,5,True,0.001231000000188942
93,std,4,3,True,0.0009320000008301577
94,std,4,3,True,0.0007450000002791057
95,std,5,4,True,0.0006880000000819564
96,std,3,2,True,0.000835999999253545
97,std,4,3,True,0.0009340000005977345
98,std,2,1,True,0.0009090000003197929
99,std,3,2,True,0.0008179999995263643
100,std,8,7,True,0.000735000000531727
